Facility,WWTP,Date,Lab,Target_Name,Copies_Per_Liter_WW,Sample_ID,Detection_Limit,Population,Sample_Type,No_of_Hours_Missed,flow
WEST LAKE,WEST LAKE,6/22/2020,R,SARS CoV-2 N1,0,R008_108,330,600,Composite,,0.204
WEST LAKE,WEST LAKE,6/22/2020,R,SARS CoV-2 N2,0,R008_107,330,600,Composite,,0.204
WEST LAKE,WEST LAKE,6/22/2020,R,SARS CoV-2 N1,630.4347826,R008_107,330,600,Composite,,0.204
WESTWAY,WESTWAY,6/22/2020,R,SARS CoV-2 N2,20217.3913,R008_111,330,3623,Composite,,0.402
WESTWAY,WESTWAY,6/22/2020,R,SARS CoV-2 N1,15869.56522,R008_111,330,3623,Composite,,0.402
WESTWAY,WESTWAY,6/22/2020,R,SARS CoV-2 N2,18043.47826,R008_110,330,3623,Composite,,0.402
WESTWAY,WESTWAY,6/22/2020,R,SARS CoV-2 N1,25434.78261,R008_110,330,3623,Composite,,0.402
WHITE OAK,WHITE OAK,6/22/2020,R,SARS CoV-2 N2,24347.82609,R008_114,330,20758,Composite,,2.358
WHITE OAK,WHITE OAK,6/22/2020,R,SARS CoV-2 N1,33043.47826,R008_114,330,20758,Composite,,2.358
WHITE OAK,WHITE OAK,6/22/2020,R,SARS CoV-2 N1,16956.52174,R008_113,330,20758,Composite,,2.358
WHITE OAK,WHITE OAK,6/22/2020,R,SARS CoV-2 N2,18043.47826,R008_113,330,20758,Composite,,2.358
WILLOWBROOK,WILLOWBROOK,6/22/2020,R,SARS CoV-2 N1,10217.3913,R008_117,330,8610,Composite,,1.377
WILLOWBROOK,WILLOWBROOK,6/22/2020,R,SARS CoV-2 N2,10000,R008_117,330,8610,Composite,,1.377
WILLOWBROOK,WILLOWBROOK,6/22/2020,R,SARS CoV-2 N2,7826.086957,R008_116,330,8610,Composite,,1.377
WILLOWBROOK,WILLOWBROOK,6/22/2020,R,SARS CoV-2 N1,13695.65217,R008_116,330,8610,Composite,,1.377
69TH STREET,69TH STREET,6/29/2020,R,SARS CoV-2 N1,12320,R009_002,330,551150,Composite,,74
69TH STREET,69TH STREET,6/29/2020,R,SARS CoV-2 N1,13860,R009_003,330,551150,Composite,,74
69TH STREET,69TH STREET,6/29/2020,R,SARS CoV-2 N1,14300,R009_001,330,551150,Composite,,74
69TH STREET,69TH STREET,6/29/2020,R,SARS CoV-2 N2,9900,R009_002,330,551150,Composite,,74
69TH STREET,69TH STREET,6/29/2020,R,SARS CoV-2 N2,8800,R009_003,330,551150,Composite,,74
69TH STREET,69TH STREET,6/29/2020,R,SARS CoV-2 N2,10120,R009_001,330,551150,Composite,,74
ALMEDA SIMS,ALMEDA SIMS,6/29/2020,R,SARS CoV-2 N2,15180,R009_007,330,117968,Composite,,10.122
ALMEDA SIMS,ALMEDA SIMS,6/29/2020,R,SARS CoV-2 N1,17160,R009_007,330,117968,Composite,,10.122
ALMEDA SIMS,ALMEDA SIMS,6/29/2020,R,SARS CoV-2 N2,11880,R009_009,330,117968,Composite,,10.122
ALMEDA SIMS,ALMEDA SIMS,6/29/2020,R,SARS CoV-2 N1,14080,R009_009,330,117968,Composite,,10.122
ALMEDA SIMS,ALMEDA SIMS,6/29/2020,R,SARS CoV-2 N2,12100,R009_008,330,117968,Composite,,10.122
ALMEDA SIMS,ALMEDA SIMS,6/29/2020,R,SARS CoV-2 N1,13200,R009_008,330,117968,Composite,,10.122
BELTWAY,BELTWAY,6/29/2020,R,SARS CoV-2 N2,31240,R009_010,330,70900,Composite,,5.833
BELTWAY,BELTWAY,6/29/2020,R,SARS CoV-2 N1,51260,R009_010,330,70900,Composite,,5.833
BELTWAY,BELTWAY,6/29/2020,R,SARS CoV-2 N2,43120,R009_012,330,70900,Composite,,5.833
BELTWAY,BELTWAY,6/29/2020,R,SARS CoV-2 N1,53240,R009_012,330,70900,Composite,,5.833
BELTWAY,BELTWAY,6/29/2020,R,SARS CoV-2 N2,36300,R009_011,330,70900,Composite,,5.833
BELTWAY,BELTWAY,6/29/2020,R,SARS CoV-2 N1,49500,R009_011,330,70900,Composite,,5.833
CEDAR BAYOU,CEDAR BAYOU,6/29/2020,R,SARS CoV-2 N1,7040,R009_013,330,1722,Composite,,0.706
CEDAR BAYOU,CEDAR BAYOU,6/29/2020,R,SARS CoV-2 N2,3960,R009_014,330,1722,Composite,,0.706
CEDAR BAYOU,CEDAR BAYOU,6/29/2020,R,SARS CoV-2 N1,4400,R009_014,330,1722,Composite,,0.706
CEDAR BAYOU,CEDAR BAYOU,6/29/2020,R,SARS CoV-2 N2,4400,R009_013,330,1722,Composite,,0.706
CEDAR BAYOU,CEDAR BAYOU,6/29/2020,R,SARS CoV-2 N1,3740,R009_015,330,1722,Composite,,0.706
CEDAR BAYOU,CEDAR BAYOU,6/29/2020,R,SARS CoV-2 N2,2200,R009_015,330,1722,Composite,,0.706
CHOCOLATE BAYOU,CHOCOLATE BAYOU,6/29/2020,R,SARS CoV-2 N1,6380,R009_016,330,37359,Composite,,2.931
CHOCOLATE BAYOU,CHOCOLATE BAYOU,6/29/2020,R,SARS CoV-2 N2,9020,R009_017,330,37359,Composite,,2.931
CHOCOLATE BAYOU,CHOCOLATE BAYOU,6/29/2020,R,SARS CoV-2 N2,8140,R009_016,330,37359,Composite,,2.931
