Sample_name,assay_variable,Copy #,Positives,Negatives,Accepted Droplets,Label_tube,Tube ID,biological_replicates,Target,Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,template_vol,ExptType,FractionalAbundance,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,CT
NTC,NTC,,0,13076,13076,NTC0,0,"",BCoV2,CHECK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,2700.263751,2700.263751,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,3.63636363636364,,,,,,,,,,,,
HA,DI,0.176,1,14205,14206,HADI1,DI1,1,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,1.6,,,0.4,0,0,1,5,14200,0,,,,,,,,,,,,0.2,,,0.71,0,,,,52,0,,,2088.4,Rare Event Detection Experiment,,,,,,,,,,,,0.44,0,,,33,0,9.09090909090909,Rare Event Detection,17,1,1,4034,5192.7,2088.2,,,0.21,0.02,
HA,DI,0.308,2,16238,16240,HADI2,DI2,2,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,2.8,,,0.46,0.02,0,2,5,16233,0,,,,,,,,,,,,0.4,,,1.1,0,,,,65,0,,,2071.7,Rare Event Detection Experiment,,,,,,,,,,,,0.75,0.05,,,46,11,9.09090909090909,Rare Event Detection,29,1,1,4034,10205,2070.7,,,0.28,0.06,
HA,DI,0.352,2,14512,14514,HADI3,DI3,3,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,3.2,,,0.52,0.02,0,2,5,14507,0,,,,,,,,,,,,0.4,,,1.1,0,,,,65,0,,,2055.1,Rare Event Detection Experiment,,,,,,,,,,,,0.75,0.05,,,46,11,9.09090909090909,Rare Event Detection,29,1,1,4034,7209.5,2054.4,,,0.31,0.07,
D,DI,0.352,2,15097,15099,DDI1,DI1,1,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,3.2,,,0.5,0.02,0,2,5,15092,0,,,,,,,,,,,,0.4,,,1.1,0,,,,65,0,,,2020.5,Rare Event Detection Experiment,,,,,,,,,,,,0.75,0.05,,,46,11,9.09090909090909,Rare Event Detection,29,1,1,4034,10405,2019.4,,,0.3,0.07,
D,DI,0.484,3,15836,15839,DDI2,DI2,2,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,4.4,,,0.59,0.05,0,3,2,15834,0,,,,,,,,,,,,1.5,,,4.4,0,,,,107,13,,,2035.7,Rare Event Detection Experiment,,,,,,,,,,,,2.9,0.1,,,83,37,9.09090909090909,Rare Event Detection,60,1,1,4034,9468.2,2034.3,,,0.38,0.12,
D,DI,0,0,15160,15160,DDI3,DI3,3,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,0,,,0.23,0,0,0,2,15158,0,,,,,,,,,,,,,,,,,,,,,,,,2038.6,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,9.09090909090909,Rare Event Detection,,1,1,4034,0,2038.6,,,0.11,0,
UF,DI,0.374,2,14066,14068,UFDI1,DI1,1,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,3.4,,,0.54,0.03,0,2,5,14061,0,,,,,,,,,,,,0.4,,,1.1,0,,,,65,0,,,2254.6,Rare Event Detection Experiment,,,,,,,,,,,,0.75,0.05,,,46,11,9.09090909090909,Rare Event Detection,29,1,1,4034,11460,2253.3,,,0.32,0.07,
UF,DI,0,0,13900,13900,UFDI2,DI2,2,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,0,,,0.25,0,0,0,7,13893,0,,,,,,,,,,,,,,,,,,,,,,,,2074.6,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,9.09090909090909,Rare Event Detection,,1,1,4034,0,2074.6,,,0.12,0,
UF,DI,0.352,2,14771,14773,UFDI3,DI3,3,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,3.2,,,0.51,0.02,0,2,2,14769,0,,,,,,,,,,,,1,,,3.2,0,,,,100,0,,,2073.2,Rare Event Detection Experiment,,,,,,,,,,,,2.1,0,,,76,24,9.09090909090909,Rare Event Detection,50,1,1,4034,9573.1,2072.2,,,0.31,0.07,
