Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
Almeda Sims,AS,5/24/21,R,E484 wild-type,,50,0,0.55,0,0,,14088,0,0524.AS-2,1699.7,Negative,Composite,,,,B3,1834.94,0
Almeda Sims,AS,5/24/21,R,417T,,50,0,0.55,0,0,,14088,0,0524.AS-2,,,Composite,,,,B3,1834.94,0
Almeda Sims,AS,5/24/21,R,K417 wild-type,,50,0,0.55,0,0,,14088,0,0524.AS-2,1550.84,Negative,Composite,,,,B3,1834.94,0
Almeda Sims,AS,5/24/21,R,417N,,50,0,0,0,0,,14088,0,0524.AS-2,,,Composite,,,,B3,,
Beltway,BW,5/24/21,R,484K,,50,0,0.7,0,0,,11027,0,0524.BW-1,,,Composite,,,,C3,2345.43,0
Beltway,BW,5/24/21,R,E484 wild-type,,50,0.23,1.12,0.01,782.85,,11027,1,0524.BW-1,1699.7,Negative,Composite,,,,C3,3739.55,32.88
Beltway,BW,5/24/21,R,417T,,50,0.94,2.22,0.28,3131.56,,11027,4,0524.BW-1,,,Composite,,,,C3,7385.26,944.83
Beltway,BW,5/24/21,R,K417 wild-type,,50,0.47,1.5,0.07,1565.78,,11027,2,0524.BW-1,1550.84,Positive,Composite,,,,C3,5016.2,237.2
Beltway,BW,5/24/21,R,417N,,50,0,0,0,0,,11027,0,0524.BW-1,,,Composite,,,,C3,,
Beltway,BW,5/24/21,R,484K,,50,0.16,0.77,0.01,537.02,,16075,1,0524.BW-2,,,Composite,,,,D3,2565.1,22.55
Beltway,BW,5/24/21,R,E484 wild-type,,50,0.48,1.28,0.11,1610.55,,16075,3,0524.BW-2,1699.7,Negative,Composite,,,,D3,4269.15,382.21
Beltway,BW,5/24/21,R,417T,,50,0.48,1.28,0.11,1611.15,,16075,3,0524.BW-2,,,Composite,,,,D3,4270.75,382.35
Beltway,BW,5/24/21,R,K417 wild-type,,50,1.45,2.63,0.69,4832.55,,16075,9,0524.BW-2,1550.84,Positive,Composite,,,,D3,8756.43,2304.25
Beltway,BW,5/24/21,R,417N,,50,0,0,0,0,,16075,0,0524.BW-2,,,Composite,,,,D3,,
Cedar Bayou,CD,5/24/21,R,484K,,50,0,0.55,0,0,,14106,0,0524.CD-1,,,Composite,,,,G3,1832.99,0
Cedar Bayou,CD,5/24/21,R,E484 wild-type,,50,0.55,1.46,0.13,1835.04,,14106,3,0524.CD-1,1699.7,Positive,Composite,,,,G3,4864.33,435.48
Cedar Bayou,CD,5/24/21,R,417T,,50,0,0.55,0,0,,14106,0,0524.CD-1,,,Composite,,,,G3,1832.99,0
Cedar Bayou,CD,5/24/21,R,K417 wild-type,,50,0.37,1.18,0.06,1223.32,,14106,2,0524.CD-1,1550.84,Negative,Composite,,,,G3,3918.9,185.32
