Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
Beltway,BW,06/21/21,R,L452wt,,50,8,10.47,5.96,26679.21,,15886,49,0621.BW-2,1347.23,Positive,Composite,,,,D3,34894.49,19870.89
Beltway,BW,06/21/21,R,E484wt,,50,8,10.47,5.96,26679.21,,15886,49,0621.BW-2,1643.27,Positive,Composite,,,,D3,34894.49,19870.89
Cedar Bayou,CD,06/21/21,R,L452R,,50,0,0.48,0,0,,16274,0,0621.CD-1,1591.73,Negative,Composite,,,,G3,1588.44,0
Cedar Bayou,CD,06/21/21,R,E484Q,,50,0,0.48,0,0,,16274,0,0621.CD-1,2333.33,Negative,Composite,,,,G3,1588.44,0
Cedar Bayou,CD,06/21/21,R,L452wt,,50,0,0.48,0,0,,16274,0,0621.CD-1,1347.23,Negative,Composite,,,,G3,1588.44,0
Cedar Bayou,CD,06/21/21,R,E484wt,,50,0,0.48,0,0,,16274,0,0621.CD-1,1643.27,Negative,Composite,,,,G3,1588.44,0
Cedar Bayou,CD,06/21/21,R,L452R,,50,0,0.46,0,0,,16940,0,0621.CD-2,1591.73,Negative,Composite,,,,H3,1525.98,0
Cedar Bayou,CD,06/21/21,R,E484Q,,50,0,0.46,0,0,,16940,0,0621.CD-2,2333.33,Negative,Composite,,,,H3,1525.98,0
Cedar Bayou,CD,06/21/21,R,L452wt,,50,0,0.46,0,0,,16940,0,0621.CD-2,1347.23,Negative,Composite,,,,H3,1525.98,0
Cedar Bayou,CD,06/21/21,R,E484wt,,50,0,0.46,0,0,,16940,0,0621.CD-2,1643.27,Negative,Composite,,,,H3,1525.98,0
Chocolate Bayou,CB,06/21/21,R,L452R,,50,0.83,1.81,0.29,2770.63,,15576,5,0621.CB-1,1591.73,Positive,Composite,,,,E3,6021.7,974.05
Chocolate Bayou,CB,06/21/21,R,E484Q,,50,0,0.5,0,0,,15576,0,0621.CB-1,2333.33,Negative,Composite,,,,E3,1660.59,0
Chocolate Bayou,CB,06/21/21,R,L452wt,,50,0.33,1.07,0.05,1108.36,,15576,2,0621.CB-1,1347.23,Negative,Composite,,,,E3,3550.57,167.91
Chocolate Bayou,CB,06/21/21,R,E484wt,,50,0.17,0.79,0.01,554.16,,15576,1,0621.CB-1,1643.27,Negative,Composite,,,,E3,2646.99,23.27
Chocolate Bayou,CB,06/21/21,R,L452R,,50,0.3,0.96,0.05,994.86,,17347,2,0621.CB-2,1591.73,Negative,Composite,,,,F3,3186.95,150.71
Chocolate Bayou,CB,06/21/21,R,E484Q,,50,0,0.45,0,0,,17347,0,0621.CB-2,2333.33,Negative,Composite,,,,F3,1490.52,0
Chocolate Bayou,CB,06/21/21,R,L452wt,,50,0.15,0.71,0.01,497.45,,17347,1,0621.CB-2,1347.23,Negative,Composite,,,,F3,2376.06,20.89
Chocolate Bayou,CB,06/21/21,R,E484wt,,50,0.15,0.71,0.01,497.45,,17347,1,0621.CB-2,1643.27,Negative,Composite,,,,F3,2376.06,20.89
Clinton Park,CP,06/21/21,R,L452R,,50,0,0.59,0,0,,13218,0,0621.CP-1,1591.73,Negative,Composite,,,,A4,1955.73,0
Clinton Park,CP,06/21/21,R,E484Q,,50,0,0.59,0,0,,13218,0,0621.CP-1,2333.33,Negative,Composite,,,,A4,1955.73,0
Clinton Park,CP,06/21/21,R,L452wt,,50,0,0.59,0,0,,13218,0,0621.CP-1,1347.23,Negative,Composite,,,,A4,1955.73,0
Clinton Park,CP,06/21/21,R,E484wt,,50,0,0.59,0,0,,13218,0,0621.CP-1,1643.27,Negative,Composite,,,,A4,1955.73,0
Clinton Park,CP,06/21/21,R,L452R,,50,0,0.49,0,0,,15862,0,0621.CP-2,1591.73,Negative,Composite,,,,B4,1630.21,0
Clinton Park,CP,06/21/21,R,E484Q,,50,0,0.49,0,0,,15862,0,0621.CP-2,2333.33,Negative,Composite,,,,B4,1630.21,0
Clinton Park,CP,06/21/21,R,L452wt,,50,0,0.49,0,0,,15862,0,0621.CP-2,1347.23,Negative,Composite,,,,B4,1630.21,0
Clinton Park,CP,06/21/21,R,E484wt,,50,0,0.49,0,0,,15862,0,0621.CP-2,1643.27,Negative,Composite,,,,B4,1630.21,0
Easthaven,EH,06/21/21,R,L452R,,50,2.02,3.33,1.11,6729.88,,16693,13,0621.EH-1,1591.73,Positive,Composite,,,,C4,11114.9,3685.77
Easthaven,EH,06/21/21,R,E484Q,,50,0,0.47,0,0,,16693,0,0621.EH-1,2333.33,Negative,Composite,,,,C4,1551.72,0
Easthaven,EH,06/21/21,R,L452wt,,50,1.4,2.53,0.67,4659.71,,16693,9,0621.EH-1,1347.23,Positive,Composite,,,,C4,8443.17,2221.85
Easthaven,EH,06/21/21,R,E484wt,,50,0,0.47,0,0,,16693,0,0621.EH-1,1643.27,Negative,Composite,,,,C4,1551.72,0
Easthaven,EH,06/21/21,R,L452R,,50,1.86,3.13,0.99,6206.8,,16710,12,0621.EH-2,1591.73,Positive,Composite,,,,D4,10447.06,3307.15
Easthaven,EH,06/21/21,R,E484Q,,50,0,0.47,0,0,,16710,0,0621.EH-2,2333.33,Negative,Composite,,,,D4,1550.33,0
Easthaven,EH,06/21/21,R,L452wt,,50,0.78,1.69,0.27,2586.71,,16710,5,0621.EH-2,1347.23,Positive,Composite,,,,D4,5621.91,909.4
Easthaven,EH,06/21/21,R,E484wt,,50,0,0.47,0,0,,16710,0,0621.EH-2,1643.27,Negative,Composite,,,,D4,1550.33,0
F.W.S.D. # 23,23,06/21/21,R,L452R,,50,0.14,0.67,0.01,468.67,,18416,1,0621.23-1,1591.73,Negative,Composite,,,,A2,2238.58,19.68
F.W.S.D. # 23,23,06/21/21,R,E484Q,,50,0,0.42,0,0,,18416,0,0621.23-1,2333.33,Negative,Composite,,,,A2,1404.28,0
F.W.S.D. # 23,23,06/21/21,R,L452wt,,50,0,0.42,0,0,,18416,0,0621.23-1,1347.23,Negative,Composite,,,,A2,1404.28,0
F.W.S.D. # 23,23,06/21/21,R,E484wt,,50,0,0.42,0,0,,18416,0,0621.23-1,1643.27,Negative,Composite,,,,A2,1404.28,0
F.W.S.D. # 23,23,06/21/21,R,L452R,,50,0,0.46,0,0,,16945,0,0621.23-2,1591.73,Negative,Composite,,,,B2,1525.98,0
F.W.S.D. # 23,23,06/21/21,R,E484Q,,50,0,0.46,0,0,,16945,0,0621.23-2,2333.33,Negative,Composite,,,,B2,1525.98,0
F.W.S.D. # 23,23,06/21/21,R,L452wt,,50,0,0.46,0,0,,16945,0,0621.23-2,1347.23,Negative,Composite,,,,B2,1525.98,0
F.W.S.D. # 23,23,06/21/21,R,E484wt,,50,0,0.46,0,0,,16945,0,0621.23-2,1643.27,Negative,Composite,,,,B2,1525.98,0
Forest Cove,FC,06/21/21,R,L452R,,50,0.14,0.69,0.01,482.29,,17889,1,0621.FC-1,1591.73,Negative,Composite,,,,E4,2303.66,20.26
Forest Cove,FC,06/21/21,R,E484Q,,50,0,0.43,0,0,,17889,0,0621.FC-1,2333.33,Negative,Composite,,,,E4,1445.1,0
Forest Cove,FC,06/21/21,R,L452wt,,50,0,0.43,0,0,,17889,0,0621.FC-1,1347.23,Negative,Composite,,,,E4,1445.1,0
Forest Cove,FC,06/21/21,R,E484wt,,50,0,0.43,0,0,,17889,0,0621.FC-1,1643.27,Negative,Composite,,,,E4,1445.1,0
Forest Cove,FC,06/21/21,R,L452R,,50,0.17,0.82,0.01,568.81,,15186,1,0621.FC-2,1591.73,Negative,Composite,,,,F4,2716.98,23.89
Forest Cove,FC,06/21/21,R,E484Q,,50,0,0.51,0,0,,15186,0,0621.FC-2,2333.33,Negative,Composite,,,,F4,1704.38,0
Forest Cove,FC,06/21/21,R,L452wt,,50,0,0.51,0,0,,15186,0,0621.FC-2,1347.23,Negative,Composite,,,,F4,1704.38,0
Forest Cove,FC,06/21/21,R,E484wt,,50,0,0.51,0,0,,15186,0,0621.FC-2,1643.27,Negative,Composite,,,,F4,1704.38,0
Greenridge,GR,06/21/21,R,L452R,,50,0.48,1.27,0.11,1591.73,,16287,3,0621.GR-1,1591.73,Positive,Composite,,,,G4,4219.26,377.74
Greenridge,GR,06/21/21,R,E484Q,,50,0,0.48,0,0,,16287,0,0621.GR-1,2333.33,Negative,Composite,,,,G4,1589.9,0
Greenridge,GR,06/21/21,R,L452wt,,50,0.16,0.76,0.01,530.61,,16287,1,0621.GR-1,1347.23,Negative,Composite,,,,G4,2534.49,22.28
Greenridge,GR,06/21/21,R,E484wt,,50,0,0.48,0,0,,16287,0,0621.GR-1,1643.27,Negative,Composite,,,,G4,1589.9,0
Greenridge,GR,06/21/21,R,L452R,,50,0.29,0.92,0.04,959.41,,18015,2,0621.GR-2,1591.73,Negative,Composite,,,,H4,3073.35,145.34
Greenridge,GR,06/21/21,R,E484Q,,50,0,0.43,0,0,,18015,0,0621.GR-2,2333.33,Negative,Composite,,,,H4,1437.39,0
Greenridge,GR,06/21/21,R,L452wt,,50,0.14,0.69,0.01,479.72,,18015,1,0621.GR-2,1347.23,Negative,Composite,,,,H4,2291.36,20.15
Greenridge,GR,06/21/21,R,E484wt,,50,0,0.43,0,0,,18015,0,0621.GR-2,1643.27,Negative,Composite,,,,H4,1437.39,0
Homestead,HO,06/21/21,R,L452R,,50,0,0.4,0,0,,19303,0,0621.HO-1,1591.73,Negative,Composite,,,,A5,1339.16,0
Homestead,HO,06/21/21,R,E484Q,,50,0,0.4,0,0,,19303,0,0621.HO-1,2333.33,Negative,Composite,,,,A5,1339.16,0
Homestead,HO,06/21/21,R,L452wt,,50,0,0.4,0,0,,19303,0,0621.HO-1,1347.23,Negative,Composite,,,,A5,1339.16,0
Homestead,HO,06/21/21,R,E484wt,,50,0,0.4,0,0,,19303,0,0621.HO-1,1643.27,Negative,Composite,,,,A5,1339.16,0
Homestead,HO,06/21/21,R,L452R,,50,0,0.44,0,0,,17614,0,0621.HO-2,1591.73,Negative,Composite,,,,B5,1467.67,0
Homestead,HO,06/21/21,R,E484Q,,50,0,0.44,0,0,,17614,0,0621.HO-2,2333.33,Negative,Composite,,,,B5,1467.67,0
Homestead,HO,06/21/21,R,L452wt,,50,0,0.44,0,0,,17614,0,0621.HO-2,1347.23,Negative,Composite,,,,B5,1467.67,0
Homestead,HO,06/21/21,R,E484wt,,50,0,0.44,0,0,,17614,0,0621.HO-2,1643.27,Negative,Composite,,,,B5,1467.67,0
Imperial Valley,IV,06/21/21,R,L452R,,50,0.3,0.95,0.04,988.99,,17464,2,0621.IV-1,1591.73,Negative,Composite,,,,E5,3168.13,149.82
Imperial Valley,IV,06/21/21,R,E484Q,,50,0,0.44,0,0,,17464,0,0621.IV-1,2333.33,Negative,Composite,,,,E5,1481.72,0
Imperial Valley,IV,06/21/21,R,L452wt,,50,1.78,3,0.95,5932.24,,17464,12,0621.IV-1,1347.23,Positive,Composite,,,,E5,9984.82,3160.88
Imperial Valley,IV,06/21/21,R,E484wt,,50,1.33,2.42,0.64,4448.8,,17464,9,0621.IV-1,1643.27,Positive,Composite,,,,E5,8060.93,2121.3
Imperial Valley,IV,06/21/21,R,L452R,,50,0.15,0.7,0.01,491.91,,17553,1,0621.IV-2,1591.73,Negative,Composite,,,,F5,2349.64,20.66
Imperial Valley,IV,06/21/21,R,E484Q,,50,0,0.44,0,0,,17553,0,0621.IV-2,2333.33,Negative,Composite,,,,F5,1473.95,0
Imperial Valley,IV,06/21/21,R,L452wt,,50,1.18,2.21,0.53,3934.53,,17553,8,0621.IV-2,1347.23,Positive,Composite,,,,F5,7368.39,1781.14
Imperial Valley,IV,06/21/21,R,E484wt,,50,1.03,2.01,0.44,3442.62,,17553,7,0621.IV-2,1643.27,Positive,Composite,,,,F5,6705.52,1462.45
Intercontinental Airport,IA,06/21/21,R,L452R,,50,0,0.4,0,0,,19626,0,0621.IA-1,1591.73,Negative,Composite,,,,C5,1318.13,0
Intercontinental Airport,IA,06/21/21,R,E484Q,,50,0,0.4,0,0,,19626,0,0621.IA-1,2333.33,Negative,Composite,,,,C5,1318.13,0
Intercontinental Airport,IA,06/21/21,R,L452wt,,50,1.45,2.5,0.75,4837.86,,19626,11,0621.IA-1,1347.23,Positive,Composite,,,,C5,8318.85,2497.76
