Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0707/stdSA,stdSA,07/07/21,R,417N,,,0,0.49,0,,,16297,0,0707.stdSA-1,,Negative,Composite,,,,E11,,
0707/stdSA,stdSA,07/07/21,R,484K,,,0,0.56,0,,,14282,0,0707.stdSA-2,,Negative,Composite,,,,F11,,
0707/stdSA,stdSA,07/07/21,R,E484 wild-type,,,0,0.56,0,,,14282,0,0707.stdSA-2,,Negative,Composite,,,,F11,,
0707/stdSA,stdSA,07/07/21,R,417T,,,0,0.56,0,,,14282,0,0707.stdSA-2,,Negative,Composite,,,,F11,,
0707/stdSA,stdSA,07/07/21,R,K417 wild-type,,,0,0.56,0,,,14282,0,0707.stdSA-2,,Negative,Composite,,,,F11,,
0707/stdSA,stdSA,07/07/21,R,417N,,,0,0.56,0,,,14282,0,0707.stdSA-2,,Negative,Composite,,,,F11,,
69th Street,69,07/05/21,R,484K,,50,0.14,0.66,0.01,458.85,,18815,1,0705.69-1,1409.83,Negative,Composite,,,,E2,2191.67,19.27
69th Street,69,07/05/21,R,E484 wild-type,,50,0,0.41,0,0,,18815,0,0705.69-1,1849.91,Negative,Composite,,,,E2,1374.26,0
69th Street,69,07/05/21,R,417T,,50,0,0.41,0,0,,18815,0,0705.69-1,1485.82,Negative,Composite,,,,E2,1374.85,0
69th Street,69,07/05/21,R,K417 wild-type,,50,1.1,2.06,0.5,3670.08,,18815,8,0705.69-1,1467.28,Positive,Composite,,,,E2,6873.05,1661.44
69th Street,69,07/05/21,R,417N,,50,0,0.41,0,0,,18815,0,0705.69-1,1770.1,Negative,Composite,,,,E2,1374.85,0
69th Street,69,07/05/21,R,484K,,50,0,0.41,0,0,,18985,0,0705.69-2,1409.83,Negative,Composite,,,,F2,1363.03,0
69th Street,69,07/05/21,R,E484 wild-type,,50,0.55,1.29,0.16,1818.41,,18985,4,0705.69-2,1849.91,Negative,Composite,,,,F2,4287.97,548.67
69th Street,69,07/05/21,R,417T,,50,0,0.41,0,0,,18985,0,0705.69-2,1485.82,Negative,Composite,,,,F2,1363.03,0
69th Street,69,07/05/21,R,K417 wild-type,,50,1.91,3.1,1.07,6366.12,,18985,14,0705.69-2,1467.28,Positive,Composite,,,,F2,10336.4,3572.63
69th Street,69,07/05/21,R,417N,,50,0.14,0.65,0.01,454.9,,18985,1,0705.69-2,1770.1,Negative,Composite,,,,F2,2172.83,19.11
Almeda Sims,AS,07/05/21,R,484K,,50,0,0.49,0,0,,15733,0,0705.AS-1,1409.83,Negative,Composite,,,,A3,1645.89,0
Almeda Sims,AS,07/05/21,R,E484 wild-type,,50,0.99,2.02,0.39,3291.87,,15733,6,0705.AS-1,1849.91,Positive,Composite,,,,A3,6729.93,1289.17
Almeda Sims,AS,07/05/21,R,417T,,50,0,0.49,0,0,,15733,0,0705.AS-1,1485.82,Negative,Composite,,,,A3,1645.89,0
Almeda Sims,AS,07/05/21,R,K417 wild-type,,50,3.46,5.16,2.18,11527.06,,15733,21,0705.AS-1,1467.28,Positive,Composite,,,,A3,17215.57,7256.96
Almeda Sims,AS,07/05/21,R,417N,,50,0.16,0.79,0.01,549.29,,15733,1,0705.AS-1,1770.1,Negative,Composite,,,,A3,2623.73,23.07
Almeda Sims,AS,07/05/21,R,484K,,50,0,0.47,0,0,,16508,0,0705.AS-2,1409.83,Negative,Composite,,,,B3,1567.53,0
Almeda Sims,AS,07/05/21,R,E484 wild-type,,50,0.63,1.48,0.19,2091,,16508,4,0705.AS-2,1849.91,Positive,Composite,,,,B3,4930.86,630.9
Almeda Sims,AS,07/05/21,R,417T,,50,0,0.47,0,0,,16508,0,0705.AS-2,1485.82,Negative,Composite,,,,B3,1567.53,0
Almeda Sims,AS,07/05/21,R,K417 wild-type,,50,1.88,3.17,1,6274.51,,16508,12,0705.AS-2,1467.28,Positive,Composite,,,,B3,10561.05,3343.22
Almeda Sims,AS,07/05/21,R,417N,,50,0.16,0.75,0.01,523.15,,16508,1,0705.AS-2,1770.1,Negative,Composite,,,,B3,2498.83,21.97
Beltway,BW,07/05/21,R,484K,,50,0.16,0.77,0.01,537.45,,16104,1,0705.BW-1,1409.83,Negative,Composite,,,,C3,2567.17,22.57
Beltway,BW,07/05/21,R,E484 wild-type,,50,0.96,1.97,0.38,3216,,16104,6,0705.BW-1,1849.91,Positive,Composite,,,,C3,6574.78,1259.46
